It took 23.9388029575 seconds to calculate the Mandelbrot graph.
It took 0.235138893127 seconds to dump the image.
         558867 function calls (553552 primitive calls) in 24.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.001 axis.py:705(__init__)
       39    0.000    0.000    0.001    0.000 __init__.py:1592(_add_data_doc)
        1    0.000    0.000    0.001    0.001 __init__.py:800(matplotlib_fname)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3995(__init__)
     2391    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7fff8f5e2018}
        8    0.000    0.000    0.001    0.000 axis.py:1827(_get_pixel_distance_along_axis)
       65    0.000    0.000    0.001    0.000 contextlib.py:21(__exit__)
       10    0.000    0.000    0.001    0.000 core.py:6364(array)
     1608    0.001    0.000    0.001    0.000 artist.py:1184(is_alias)
